,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
84,91,Volkswagen,T-Roc,2019,"117,620 km",Petrol,1.0,Ireland,UK,1.0,"€18,950"
85,92,Volkswagen,Golf,2012,"99,239 mi",Diesel,1.6,Ireland,UK,6.0,"€8,950"
86,93,Mini,First,2013,"103,000 mi",Petrol,1.6,Ireland,No,3.0,"€8,500"
87,94,SEAT,Ibiza,2010,"114,000 km",Petrol,1.2,Ireland,No,3.0,"€2,750"
88,95,Mitsubishi,Outlander,2014,"139,488 km",Diesel,2.3,Ireland,No,3.0,"€12,995"
89,96,Land Rover,Range Rover Sport,2019,"30,122 km",Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,"€59,950"
90,97,Fiat,500,2014,"85,045 km",Petrol,1.4,Ireland,UK,4.0,"€13,900"
91,98,Toyota,Corolla,2018,"44,572 km",Petrol,1.5,Ireland,Unknown country,1.0,"€13,750"
92,99,Ford,Kuga,2014,"221,466 km",Diesel,2.0,Ireland,No,4.0,"€10,950"
93,100,Toyota,Aygo,2007,"133,000 km",Petrol,1.0,Ireland,No,4.0,"€1,700"
94,101,BMW,5-Series,2007,"94,000 mi",Diesel,3.0,Ireland,No,13.0,"€6,100"
95,102,Volkswagen,Passat,2017,"178,000 km",Diesel,1.6,Ireland,No,1.0,"€15,750"
96,103,Nissan,Leaf,2018,"135,000 km",Electric,1.6,Ireland,No,2.0,"€12,900"
97,104,Volkswagen,Polo,2023,"5,000 km",Petrol,1.0,Ireland,No,2.0,"€27,900"
98,105,Nissan,Micra,2019,"70,745 km",Petrol,1.0,Ireland,No,1.0,"€12,950"
99,106,Volkswagen,Golf,2016,"158,161 km",Diesel,1.6,Ireland,No,3.0,"€7,950"
100,107,Volkswagen,Polo,2014,"49,700 mi",Petrol,1.2,Ireland,Unknown,1.0,"€11,999"
101,108,Volkswagen,Passat,2014,"144,289 mi",Diesel,1.6,Ireland,UK,3.0,"€7,450"
102,109,Skoda,Octavia,2022,"51,850 km",Petrol Plug-in Hybrid,1.4,Ireland,No,1.0,"€29,995"
103,110,Hyundai,i40,2016,"200,000 km",Diesel,1.7,Ireland,No,1.0,"€8,950"
104,111,Hyundai,i40,2019,"80,444 km",Diesel,1.6,Ireland,No,2.0,"€21,900"
105,112,Audi,A6,2011,"280,000 km",Diesel,3.0,Ireland,UK,4.0,"€9,000"
106,113,Audi,A4,2019,"139,414 km",Diesel,2.0,Ireland,No,1.0,"€26,950"
107,114,Ford,Fiesta,2009,"245,000 km",Petrol,1.2,Ireland,No,5.0,"€3,350"
108,115,Kia,Sportage,2021,"53,000 km",Diesel Hybrid,1.6,Ireland,No,1.0,"€34,400"
109,116,Ford,S-MAX,2015,"96,555 mi",Diesel,2.0,Ireland,UK,1.0,"€12,950"
110,117,Honda,VEZEL,2020,"15,954 mi",Hybrid,1.5,Ireland,No,2.0,"€27,950"
111,118,Volvo,XC40,2018,"30,100 mi",Diesel,1.5,Ireland,N. Ireland,1.0,"€35,000"
112,119,Ford,Edge,2016,"89,000 mi",Diesel,2.0,Ireland,UK,2.0,€26
113,120,Lexus,ES,2020,"56,846 mi",Petrol Hybrid,2.5,Ireland,No,1.0,"€34,900"
114,121,Audi,Q5,2024,19 km,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,"€73,375"
115,122,Volkswagen,Golf,2010,"234,000 mi",Diesel,1.6,Ireland,N. Ireland,6.0,"€3,250"
116,123,BMW,5-Series,2004,"135,000 mi",Petrol,2.2,Ireland,No,4.0,"€2,950"
117,124,Audi,A4,2010,"217,000 mi",Diesel,2.0,Ireland,No,7.0,"€5,200"
118,125,Skoda,Karoq,2020,"54,793 km",Diesel,1.6,Ireland,No,1.0,"€27,900"
119,126,Jaguar,XF,2011,"88,000 mi",Petrol,2.9,Ireland,Unknown country,2.0,"€6,950"
120,127,Skoda,SCALA,2024,0 km,Petrol,1.0,Ireland,No,2.0,"€35,695"
121,128,Toyota,Corolla,2008,"260,000 km",Petrol,1.6,Ireland,No,3.0,"€2,450"
122,129,Peugeot,3008,2022,"18,000 km",Diesel,1.5,Ireland,No,2.0,"€37,950"
123,131,Kia,Niro,2021,"19,000 mi",Petrol Hybrid,1.6,Northern Ireland,No,1.0,"€27,950"
124,132,Toyota,Celica,2005,"178,500 km",Petrol,1.8,Ireland,Unknown country,3.0,"€4,400"
125,133,Volvo,XC60,2016,"123,000 km",Diesel,2.0,Ireland,UK,1.0,"€20,950"
126,134,BMW,5-Series,2020,"46,000 mi",Diesel,2.0,United Kingdom,No,1.0,"€43,900"
127,135,Peugeot,407,2008,"183,000 km",Petrol,1.7,Ireland,No,10.0,"€2,000"
128,136,MG,MG5 SW EV,2022,"36,933 km",Electric,1.6,Ireland,No,1.0,"€26,995"
129,137,Mercedes-Benz,A-Class,2013,"59,100 mi",Petrol,1.6,Ireland,No,1.0,"€15,899"
130,138,Volkswagen,Passat,2020,"53,248 mi",Diesel,2.0,Ireland,No,1.0,"€27,950"
131,139,Volkswagen,Golf,2011,"151,000 km",Diesel,1.6,Ireland,No,2.0,"€7,750"
132,140,Nissan,Qashqai,2012,"119,456 mi",Diesel,1.6,Ireland,No,3.0,"€5,950"
133,141,Peugeot,2008,2022,"32,726 km",Petrol,1.2,Ireland,No,1.0,"€26,950"
134,142,Ford,Fiesta,2015,"76,425 mi",Petrol,1.2,Northern Ireland,No,2.0,"€9,895"
135,143,BMW,3-Series,2021,"33,082 km",Diesel,2.0,Ireland,No,2.0,"€41,950"
136,144,Volkswagen,Polo,2016,"17,380 mi",Petrol,1.2,Ireland,No,1.0,"€15,750"
137,145,Kia,Stonic,2021,"19,000 km",Petrol,1.0,Ireland,No,1.0,"€21,950"
138,146,Land Rover,Defender,2020,"129,500 km",Diesel,2.0,Ireland,No,1.0,"€79,950"
