,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
6383,6721,Kia,Sportage,2023,"6,000 km",Diesel,1.6,Ireland,No,1.0,"€38,500"
6384,6722,Volkswagen,T-CROSS,2020,"79,700 km",Diesel,1.6,Ireland,No,2.0,"€23,950"
6385,6723,Volkswagen,Scirocco,2009,"297,868 km",Diesel,2.0,Ireland,Unknown,4.0,"€5,900"
6386,6724,Toyota,Aqua,2016,"113,000 km",Petrol Hybrid,1.5,Ireland,Unknown country,4.0,"€8,850"
6387,6725,Mitsubishi,Outlander,2018,"91,520 mi",Petrol Plug-in Hybrid,2.4,Ireland,UK,2.0,"€24,995"
6388,6726,Nissan,Qashqai,2020,"38,480 km",Petrol,1.3,Ireland,No,1.0,"€23,995"
6389,6727,Volkswagen,Golf,2019,"82,770 mi",Diesel,1.6,Ireland,No,1.0,"€24,950"
6390,6728,Volkswagen,Golf,2016,"52,192 km",Petrol,1.2,Ireland,No,2.0,"€14,995"
6391,6729,Audi,A7,2019,"52,000 mi",Diesel Hybrid,3.0,United Kingdom,No,1.0,"€59,999"
6392,6730,Hyundai,i30,2016,"117,000 km",Petrol,1.4,Ireland,No,1.0,"€13,400"
6393,6731,Toyota,Corolla,2017,"108,740 mi",Diesel,1.4,Ireland,No,2.0,"€14,950"
6394,6732,Peugeot,3008,2017,"103,000 km",Petrol,1.2,Ireland,No,2.0,"€17,950"
6395,6733,Audi,A5,2011,"3,505,029 km",Diesel,2.0,Ireland,UK,5.0,"€6,000"
6396,6734,Renault,Grand Scenic,2018,"144,054 km",Diesel,1.5,Ireland,No,1.0,"€19,950"
6397,6735,Nissan,Qashqai+2,2012,"225,636 km",Diesel,1.6,Ireland,No,4.0,"€6,950"
6398,6736,Kia,Sorento,2021,"83,000 km",Diesel,2.2,Ireland,No,1.0,"€50,900"
6399,6738,Hyundai,Tucson,2021,"53,800 mi",Diesel,1.6,Ireland,No,1.0,"€27,950"
6400,6739,Mini,Cooper,2014,"106,000 km",Petrol,2.0,Ireland,No,4.0,"€13,950"
6401,6740,Kia,Ceed,2018,"55,500 mi",Petrol,1.0,Ireland,UK,1.0,"€13,950"
6402,6741,Mazda,CX-3,2015,"210,000 km",Diesel,1.5,Ireland,No,2.0,"€9,999"
6403,6742,Kia,Stonic,2018,"97,000 km",Petrol,1.4,Ireland,No,3.0,"€16,950"
6404,6743,Peugeot,308,2012,"116,000 km",Diesel,1.6,Ireland,No,3.0,"€5,250"
6405,6744,Suzuki,Swift,2016,"86,000 km",Petrol,1.2,Ireland,Unknown,2.0,"€11,750"
6406,6745,BMW,1-Series,2017,"25,666 mi",Petrol,1.5,Ireland,No,2.0,"€21,950"
6407,6746,Volkswagen,Polo,2011,"83,000 km",Petrol,1.2,Ireland,Unknown country,1.0,"€7,250"
6408,6747,Volvo,XC60,2023,"14,000 km",Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,"€67,995"
6409,6748,BMW,3-Series,2017,"91,000 km",Petrol Plug-in Hybrid,2.0,Ireland,Unknown country,1.0,"€21,950"
6410,6749,Audi,A3,2015,"180,000 mi",Diesel,1.6,Ireland,UK,3.0,"€13,250"
6411,6750,Nissan,Qashqai,2017,"183,000 km",Diesel,1.5,Ireland,No,2.0,"€15,750"
6412,6751,Volvo,V40,2014,"111,400 mi",Diesel,1.6,Ireland,UK,1.0,"€11,995"
6413,6752,Skoda,Octavia,2015,250 km,Diesel,2.0,Ireland,No,1.0,"€10,500"
6414,6753,Mercedes-Benz,AMG,2013,"81,000 mi",Petrol,6.2,Ireland,No,2.0,"€42,950"
6415,6754,Audi,A3,2017,"220,000 km",Diesel,1.6,Ireland,No,2.0,"€20,500"
6416,6755,Ford,Galaxy,2008,"280,000 km",Diesel,2.0,Ireland,UK,11.0,"€2,500"
6417,6756,Nissan,Juke,2015,"155,256 km",Petrol,1.2,Ireland,No,2.0,"€10,999"
6418,6757,Honda,GRACE,2015,"63,134 km",Petrol Hybrid,1.5,Ireland,Unknown,1.0,"€13,999"
6419,6758,Honda,Jade,2015,"68,000 mi",Petrol,1.5,Ireland,Unknown country,1.0,"€16,950"
6420,6759,Audi,A6,2016,"115,000 mi",Diesel,2.0,Ireland,UK,3.0,"€17,200"
6421,6760,Audi,A4,2018,"51,984 mi",Petrol,1.4,Ireland,No,2.0,"€24,950"
6422,6761,Skoda,Superb,2019,"142,400 km",Diesel,2.0,Ireland,No,1.0,"€21,000"
6423,6762,BMW,i3,2016,"21,425 km",Electric,1.6,Ireland,UK,2.0,"€13,950"
6424,6763,Ford,Focus,2011,"154,000 mi",Diesel,1.6,Ireland,UK,1.0,"€4,000"
6425,6764,Volkswagen,Polo,2014,"381,000 km",Petrol,1.0,Ireland,No,2.0,"€5,950"
6426,6765,BMW,4-Series,2014,"300,000 km",Diesel,2.0,Ireland,No,7.0,"€11,500"
6427,6766,Audi,S5,2011,"60,000 mi",Petrol,3.0,Ireland,UK,1.0,"€20,750"
6428,6767,Opel,Corsa,2017,"67,000 km",Petrol,1.4,Ireland,No,3.0,"€10,500"
6429,6768,Honda,GRACE,2015,"69,475 mi",Petrol Hybrid,1.5,Ireland,Unknown country,1.0,"€13,750"
6430,6769,Ford,S-MAX,2015,"103,000 mi",Diesel,1.6,Ireland,UK,1.0,"€12,999"
6431,6770,Volkswagen,Golf,2013,"58,000 km",Petrol,1.2,Ireland,Unknown,0.0,"€13,450"
6432,6771,Toyota,Prius,2013,"140,000 km",Petrol Hybrid,1.8,Ireland,Unknown country,1.0,"€13,900"
6433,6772,Audi,A4,2024,999 km,Diesel,2.0,Ireland,No,2.0,"€56,575"
6434,6773,Hyundai,KONA,2022,"11,200 km",Petrol Hybrid,1.6,Ireland,No,1.0,"€31,799"
6435,6774,Volkswagen,Tiguan,2016,"111,800 mi",Diesel,2.0,Ireland,No,3.0,"€16,995"
6436,6775,Skoda,Superb,2020,"71,656 km",Diesel,2.0,Ireland,No,2.0,"€29,900"
6437,6776,BMW,3-Series,2010,"279,000 km",Diesel,2.0,Ireland,UK,3.0,"€7,000"
6438,6777,Audi,A6,2019,"188,999 km",Diesel,2.0,Ireland,No,1.0,"€31,950"
6439,6778,Dacia,Sandero Stepway,2021,"54,580 km",Diesel,1.5,Ireland,No,1.0,"€16,495"
6440,6779,SEAT,Tarraco,2021,"124,000 km",Diesel,2.0,Ireland,No,2.0,"€44,950"
6441,6780,Renault,Kadjar,2018,"103,000 km",Diesel,1.5,Ireland,No,2.0,"€20,950"
6442,6781,Toyota,Yaris Cross,2023,"23,031 km",Hybrid,1.5,Ireland,No,1.0,"€32,950"
6443,6782,Ford,Fiesta,2011,"114,000 mi",Diesel,1.4,Ireland,UK,3.0,"€6,950"
6444,6783,Hyundai,Tucson,2021,"56,900 km",Diesel,1.6,Ireland,No,1.0,"€32,900"
6445,6784,Honda,CR-Z,2012,"171,000 km",Petrol,1.5,Ireland,No,5.0,"€7,950"
6446,6785,Volkswagen,Tiguan,2018,"87,320 km",Diesel,2.0,Ireland,No,2.0,"€31,495"
6447,6786,Peugeot,5008,2019,"50,000 km",Diesel,1.5,Ireland,UK,1.0,"€32,950"
6448,6787,Honda,HR-V,2024,188 km,Petrol Hybrid,1.5,Northern Ireland,No,2.0,"€52,950"
6449,6788,BMW,i7,2023,"2,755 km",Electric,1.6,Ireland,No,2.0,"€149,950"
6450,6789,Mazda,Demio,2016,"59,000 mi",Diesel,1.5,Ireland,Unknown country,1.0,"€11,950"
6451,6790,Renault,Grand Scenic,2013,"119,880 mi",Diesel,1.5,Ireland,UK,3.0,"€6,999"
6452,6791,Mercedes-Benz,S-Class,2024,15 km,Petrol Plug-in Hybrid,3.0,Ireland,No,2.0,"€170,140"
6453,6792,Volkswagen,Polo,2017,"12,804 mi",Petrol,1.0,Ireland,Unknown,0.0,"€14,750"
6454,6793,Volvo,S60,2013,"82,000 mi",Diesel,1.6,Ireland,UK,2.0,"€11,450"
6455,6794,Volkswagen,Polo,2020,"19,225 km",Petrol,1.0,Ireland,No,1.0,"€20,400"
6456,6795,Audi,A4,2020,"195,876 km",Diesel,2.0,Ireland,No,2.0,"€27,950"
6457,6796,Audi,A3,2015,"244,384 km",Diesel,2.0,Ireland,UK,1.0,"€12,750"
6458,6797,BMW,3-Series,2014,"156,000 km",Diesel,2.0,Ireland,No,3.0,"€12,950"
6459,6798,Volkswagen,Golf,2018,"59,000 km",Petrol,1.4,Ireland,Unknown country,1.0,"€21,500"
6460,6799,Mercedes-Benz,E-Class,2012,"159,000 mi",Diesel,2.1,Ireland,UK,1.0,"€9,999"
6461,6801,Mini,Cooper,2015,"105,000 mi",Petrol,1.5,Ireland,UK,2.0,"€8,495"
6462,6802,Opel,Insignia,2014,"178,000 km",Diesel,2.0,Ireland,No,2.0,"€5,950"
6463,6803,Hyundai,i40,2014,"147,000 mi",Diesel,1.7,Ireland,UK,1.0,"€10,950"
6464,6805,Land Rover,Range Rover Sport,2019,"51,283 mi",Hybrid,2.0,Ireland,UK,1.0,"€56,990"
6465,6806,Mercedes-Benz,E-Class,2011,"301,000 km",Diesel,3.0,Ireland,UK,2.0,"€8,950"
6466,6807,Mazda,CX-30,2021,"82,513 km",Petrol,2.0,Ireland,No,1.0,"€25,775"
6467,6808,Jaguar,XF,2011,"148,674 mi",Diesel,3.0,Ireland,N. Ireland,1.0,"€10,995"
6468,6809,Land Rover,Range Rover Evoque,2018,"12,700 mi",Diesel,2.0,Ireland,No,1.0,"€28,800"
6469,6810,Honda,FR-V,2008,"94,314 km",Petrol,1.8,Ireland,No,3.0,"€3,150"
6470,6811,Peugeot,208,2016,"165,500 km",Diesel,1.6,Ireland,UK,1.0,"€10,000"
6471,6812,Volkswagen,Polo,2013,"110,000 km",Petrol,1.2,Ireland,Unknown country,1.0,"€9,950"
6472,6813,Mercedes-Benz,S-Class,2008,"226,500 km",Diesel,3.0,Ireland,No,4.0,"€8,700"
6473,6814,Audi,A6,2016,"104,900 mi",Diesel,2.0,Ireland,UK,3.0,"€17,900"
6474,6815,SEAT,Leon,2020,"67,130 km",Diesel,2.0,Ireland,No,2.0,"€28,975"
6475,6816,Ford,Galaxy,2018,"90,112 km",Diesel,2.0,Ireland,UK,1.0,"€28,900"
6476,6817,Hyundai,IONIQ,2018,"127,200 km",Petrol Plug-in Hybrid,1.6,Ireland,UK,2.0,"€19,950"
6477,6818,Opel,Corsa,2008,"80,024 km",Petrol,1.2,Ireland,No,3.0,"€3,800"
6478,6819,Audi,A6,2011,"288,822 km",Diesel,2.0,Ireland,UK,2.0,"€8,995"
6479,6820,Skoda,Octavia,2022,"62,000 km",Diesel,2.0,Ireland,No,1.0,"€30,950"
6480,6821,Mitsubishi,Canter,2011,"226,000 km",Diesel,3.0,Ireland,No,3.0,"€9,450"
6481,6822,Volkswagen,Polo,2021,"113,180 km",Petrol,1.0,Ireland,No,1.0,"€18,900"
6482,6824,Kia,Venga,2010,240 km,Diesel,1.4,Ireland,No,2.0,"€2,500"
6483,6825,Land Rover,Vogue,2017,"92,500 mi",Diesel,3.0,Ireland,N. Ireland,2.0,"€54,950"
6484,6826,SEAT,MII,2015,"73,978 km",Petrol,1.0,Ireland,No,5.0,"€6,800"
6485,6827,Audi,A5,2017,"212,000 km",Diesel,2.0,Ireland,N. Ireland,1.0,"€24,995"
6486,6828,Volkswagen,Tiguan,2019,"63,000 mi",Diesel,2.0,Northern Ireland,No,1.0,"€35,500"
6487,6829,Suzuki,Swift,2012,"81,000 mi",Petrol,1.2,Ireland,Unknown country,4.0,"€6,750"
6488,6830,Mercedes-Benz,GLC-Class,2023,"24,600 km",Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,"€72,950"
6489,6831,Renault,Fluence,2011,"280,124 km",Diesel,1.5,Ireland,No,7.0,"€1,695"
6490,6832,Volkswagen,Passat,2016,"180,000 mi",Diesel,2.0,Ireland,No,3.0,"€13,000"
6491,6833,Volkswagen,Golf,2008,"208,500 mi",Diesel,1.9,Ireland,UK,2.0,"€1,950"
6492,6834,Toyota,Corolla,2006,"346,000 km",Diesel,1.4,Ireland,No,2.0,€800
6493,6835,Mercedes-Benz,AMG,2006,79 mi,Petrol,5.4,Northern Ireland,No,5.0,"£8,995"
6494,6837,Mazda,Demio,2012,"67,400 mi",Petrol,1.3,Ireland,Unknown country,1.0,"€7,845"
6495,6838,Volkswagen,Touareg,2016,"157,750 mi",Diesel,3.0,Ireland,No,3.0,"€26,016"
6496,6839,Renault,Clio,2012,"110,706 km",Ethanol Petrol,1.1,Ireland,No,2.0,"€5,200"
6497,6840,Peugeot,5008,2024,0 km,Diesel,1.5,Ireland,No,2.0,"€50,950"
6498,6841,Land Rover,Discovery,2018,"65,000 mi",Diesel,3.0,Ireland,No,2.0,"€56,950"
6499,6842,Volkswagen,Golf,2019,"104,000 mi",Diesel,2.0,United Kingdom,No,1.0,"£10,450"
6500,6843,BMW,3-Series,2018,"87,087 mi",Hybrid,2.0,Other,No,1.0,"€23,995"
6501,6844,Ford,Mondeo,2019,"149,000 km",Diesel,2.0,Ireland,No,1.0,"€19,950"
6502,6845,Audi,A3,2016,"71,445 km",Hybrid,1.4,Ireland,No,2.0,"€18,950"
6503,6846,Ford,Galaxy,2016,"107,434 mi",Diesel,2.0,Ireland,UK,1.0,"€18,900"
6504,6847,Renault,Captur,2021,"60,000 km",Diesel,1.5,Ireland,No,2.0,"€20,950"
6505,6849,Mercedes-Benz,Other,2024,0 km,Diesel,2.0,Ireland,No,2.0,"€58,868"
6506,6850,Toyota,C-HR,2022,"80,000 km",Petrol Hybrid,1.8,Ireland,No,1.0,"€27,900"
6507,6851,Skoda,Superb,2016,"165,912 mi",Diesel,2.0,Ireland,UK,1.0,"€17,450"
6508,6852,Fiat,500,2013,"48,000 km",Petrol,1.2,Ireland,No,4.0,"€7,450"
6509,6853,Opel,Astra,2024,0 km,Petrol,1.2,Ireland,No,2.0,"€32,895"
6510,6854,Kia,Ceed,2016,"104,480 mi",Diesel,1.6,Ireland,No,2.0,"€12,900"
6511,6855,Dacia,Duster,2021,"52,000 km",Diesel,1.5,Ireland,No,2.0,"€21,995"
6512,6856,Nissan,Qashqai,2020,"17,800 mi",Petrol,1.3,Northern Ireland,No,1.0,"€22,000"
6513,6857,Toyota,Yaris,2003,"158,100 mi",Petrol,1.0,Ireland,No,10.0,"€1,850"
6514,6858,BMW,X5,2015,"149,000 mi",Diesel,2.0,Ireland,No,4.0,"€27,900"
6515,6859,Volkswagen,T-Roc,2019,"76,723 mi",Diesel,2.0,United Kingdom,No,1.0,"€27,995"
6516,6860,Ford,EcoSport,2015,195 km,Diesel,1.5,Ireland,N. Ireland,2.0,"€8,250"
6517,6861,Hyundai,i30,2014,"230,000 km",Diesel,1.4,Ireland,No,6.0,"€4,500"
6518,6862,Volkswagen,Passat,2018,"174,828 km",Diesel,2.0,Ireland,UK,1.0,"€16,990"
6519,6863,Mercedes-Benz,M-Class,2008,"163,000 km",Diesel,3.0,Ireland,No,2.0,"€8,250"
6520,6864,Opel,Astra,2024,0 km,Petrol,1.2,Ireland,No,2.0,"€37,545"
6521,6865,Renault,Megane,2007,"140,000 mi",Petrol,1.4,Ireland,No,5.0,"€1,450"
6522,6866,Skoda,Karoq,2021,"87,121 km",Diesel,2.0,Ireland,No,1.0,"€33,950"
6523,6867,Hyundai,KONA,2021,"78,000 km",Electric,1.6,Ireland,No,1.0,"€24,500"
6524,6868,Audi,A3,2016,"29,384 mi",Petrol,1.4,Ireland,No,2.0,"€18,950"
6525,6869,Volkswagen,Passat,2013,"230,000 km",Diesel,1.6,Ireland,No,2.0,"€7,995"
6526,6870,Volkswagen,Golf,2014,"55,000 mi",Petrol,1.4,Ireland,Unknown,1.0,"€15,950"
6527,6871,Volkswagen,Golf,2014,"110,000 km",Diesel,1.6,Ireland,No,2.0,"€15,000"
6528,6872,Mercedes-Benz,A-Class,2015,"64,122 mi",Petrol,1.6,Ireland,No,1.0,"€16,950"
6529,6873,Land Rover,Range Rover Evoque,2021,"30,669 km",Petrol Plug-in Hybrid,1.5,Ireland,No,1.0,"€45,850"
6530,6874,Volvo,S90,2019,"91,900 km",Diesel,2.0,Ireland,UK,1.0,"€31,900"
6531,6875,Opel,Corsa,2010,"162,999 mi",Diesel,1.2,Ireland,UK,2.0,"€3,449"
6532,6876,Citroen,Berlingo Multispace,2015,"241,000 km",Diesel,1.6,Ireland,Unknown,2.0,"€10,950"
6533,6877,Dacia,Duster,2023,"16,299 km",Petrol,1.0,Ireland,No,1.0,"€26,995"
6534,6878,Mercedes-Benz,A-Class,2016,"107,210 km",Diesel,1.5,Ireland,UK,2.0,"€20,490"
6535,6879,Kia,Stonic,2020,"34,040 km",Petrol,1.4,Ireland,No,1.0,€0
6536,6880,Volkswagen,T-Roc,2019,"89,236 km",Diesel,1.6,Ireland,No,1.0,"€23,950"
6537,6881,Volkswagen,Golf,2019,"106,406 km",Petrol,1.0,Ireland,No,1.0,"€19,950"
6538,6882,Skoda,Octavia,2019,"93,500 km",Diesel,1.6,Ireland,No,1.0,"€17,450"
6539,6883,SEAT,Leon,2013,"203,000 km",Diesel,1.6,Ireland,No,3.0,"€5,500"
6540,6884,Volkswagen,Polo,2017,"30,722 mi",Petrol,1.2,Ireland,Unknown,0.0,"€16,950"
6541,6885,Audi,A3,2023,"29,831 km",Petrol,1.5,Ireland,No,1.0,"€41,975"
6542,6886,SEAT,Ibiza,2003,"93,200 km",Petrol,1.2,Ireland,No,3.0,€880
6543,6887,Toyota,Prius,2016,"79,543 mi",Petrol Hybrid,1.8,Ireland,Unknown country,1.0,"€14,450"
6544,6888,Skoda,Octavia,2008,"172,000 km",Petrol,1.6,Ireland,No,3.0,"€1,800"
6545,6889,Kia,Niro,2021,"18,000 km",Petrol Plug-in Hybrid,1.6,Ireland,No,1.0,"€30,950"
6546,6890,Peugeot,5008,2023,"25,699 km",Diesel,1.5,Ireland,No,1.0,"€46,900"
6547,6891,Skoda,Octavia,2007,"192,000 km",Petrol,1.6,Ireland,No,5.0,"€1,995"
6548,6892,Volvo,XC90,2019,"118,000 km",Diesel,2.0,Ireland,No,1.0,"€54,950"
6549,6893,Peugeot,2008,2016,"60,000 mi",Diesel,1.6,Ireland,UK,1.0,"€11,950"
6550,6894,Toyota,Estima,2013,"113,280 mi",Petrol Hybrid,2.4,Ireland,Unknown country,1.0,"€18,950"
6551,6895,Nissan,Note,2018,"100,000 km",Petrol Hybrid,1.2,Ireland,Unknown country,1.0,"€11,900"
6552,6896,Skoda,KAMIQ,2020,"59,995 km",Petrol,1.5,Ireland,No,3.0,"€20,995"
6553,6897,Mercedes-Benz,E-Class,2005,"297,000 km",Petrol,1.8,Ireland,UK,2.0,"€1,650"
6554,6898,Volkswagen,Passat,2011,250 km,Diesel,1.6,Ireland,UK,6.0,"€3,750"
6555,6899,Kia,Stonic,2019,"70,000 km",Diesel,1.6,Ireland,No,0.0,"€15,950"
6556,6900,Toyota,Aqua,2018,"77,500 mi",Petrol Hybrid,1.5,Ireland,Unknown,2.0,"€12,495"
6557,6901,Opel,Insignia,2015,"254,950 km",Diesel,2.0,Ireland,No,2.0,"€5,350"
6558,6902,Volkswagen,Golf,2021,"47,833 km",Diesel,2.0,Ireland,No,1.0,"€34,975"
6559,6903,Honda,Shuttle,2019,"73,943 mi",Hybrid,1.5,Ireland,No,2.0,"€16,950"
6560,6904,Ford,Kuga,2018,"68,942 km",Diesel,1.5,Ireland,No,1.0,"€23,000"
6561,6905,Volkswagen,Beetle,2017,"70,301 km",Petrol,1.2,Ireland,No,2.0,"€16,200"
6562,6906,Audi,A6,2019,"133,000 km",Diesel,2.0,Ireland,No,1.0,"€35,935"
6563,6907,Toyota,Auris,2016,"101,500 km",Petrol Hybrid,1.8,Other,No,1.0,"€15,995"
6564,6908,Hyundai,KONA,2018,"67,600 km",Petrol,1.0,Ireland,No,1.0,"€18,950"
6565,6909,Audi,A3,2015,"76,539 km",Petrol,1.4,Ireland,No,2.0,"€16,450"
6566,6910,Nissan,X-Trail,2018,"92,000 km",Diesel,1.6,Ireland,No,2.0,"€30,895"
6567,6911,Hyundai,Tucson,2021,"51,000 km",Petrol Hybrid,1.6,Ireland,No,1.0,"€35,995"
6568,6912,Audi,A5,2023,"15,000 km",Diesel,2.0,Ireland,No,2.0,"€54,000"
6569,6913,BMW,5-Series,2010,"127,145 mi",Diesel,2.0,Ireland,No,3.0,"€7,950"
6570,6914,Toyota,Aygo,2006,"144,000 km",Petrol,1.0,Ireland,No,7.0,"€3,200"
6571,6915,Ford,Focus,2012,"223,000 km",Diesel,1.6,Ireland,No,3.0,"€4,150"
6572,6916,Hyundai,i30,2012,"260,000 km",Diesel,1.4,Ireland,No,5.0,"€5,800"
6573,6917,Hyundai,Tucson,2016,169 km,Diesel,1.7,Ireland,No,2.0,"€14,000"
6574,6918,Volkswagen,Polo,2023,"8,790 km",Petrol,1.0,Ireland,No,1.0,"€22,895"
6575,6919,Volkswagen,ID.4,2021,"40,677 km",Electric,1.6,Ireland,No,1.0,"€35,995"
6576,6920,Mercedes-Benz,CLA-Class,2022,"56,500 km",Diesel,2.0,Ireland,No,1.0,"€43,950"
6577,6921,BMW,5-Series,2023,"23,015 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,"€69,995"
6578,6922,Honda,Fit,2015,"77,000 km",Petrol Hybrid,1.5,Ireland,Unknown country,1.0,"€11,950"
6579,6923,Toyota,Avensis,2014,"251,004 km",Diesel,2.0,Ireland,UK,1.0,"€9,950"
6580,6924,Skoda,Karoq,2020,"38,758 km",Diesel,1.6,Ireland,No,2.0,"€29,995"
6581,6925,Volkswagen,Polo,2019,"21,251 mi",Petrol,1.0,Ireland,No,2.0,"€18,950"
6582,6926,Volkswagen,Polo,2016,"80,360 km",Petrol,1.2,Ireland,No,2.0,"€15,950"
6583,6927,BMW,X5,2021,"121,402 km",Diesel,3.0,Ireland,No,1.0,"€84,995"
6584,6928,Mercedes-Benz,A-Class,2014,"35,000 mi",Petrol,1.6,Ireland,No,1.0,"€16,900"
6585,6929,Volkswagen,Up!,2013,"113,232 km",Petrol,1.0,Ireland,No,1.0,"€7,500"
6586,6930,Ford,Fiesta,2014,"117,500 mi",Petrol,1.0,Ireland,Unknown country,1.0,"€9,500"
6587,6931,BMW,5-Series,2020,"43,637 km",Petrol,2.0,Ireland,No,2.0,"€39,950"
6588,6932,Dacia,Jogger,2024,10 km,Petrol,1.0,Ireland,No,2.0,"€29,579"
6589,6933,Mazda,6,2016,"169,595 km",Diesel,2.2,Ireland,UK,1.0,"€9,950"
6590,6934,Peugeot,5008,2023,2 mi,Diesel,1.5,Ireland,No,2.0,"€56,600"
6591,6935,Nissan,Leaf,2016,"134,000 km",Electric,1.6,Ireland,No,1.0,"€9,999"
6592,6936,Mazda,CX-5,2017,"123,000 km",Diesel,2.2,Ireland,No,1.0,"€16,995"
6593,6937,Kia,Rio,2023,"22,989 km",Petrol,1.2,Ireland,No,1.0,"€21,950"
6594,6938,Chevrolet,Spark,2012,"76,925 mi",Petrol,1.0,Ireland,UK,5.0,"€4,995"
6595,6939,Mercedes-Benz,A-Class,2018,"47,000 km",Diesel,1.5,Ireland,No,2.0,"€30,950"
6596,6940,SEAT,Tarraco,2024,"1,000 km",Diesel,2.0,Ireland,No,2.0,"€56,950"
6597,6941,Audi,A3,2016,"71,445 km",Petrol Plug-in Hybrid,1.4,Ireland,No,2.0,"€18,950"
6598,6942,Volkswagen,Golf,2017,"76,021 mi",Diesel,2.0,Ireland,Unknown,2.0,"€17,750"
6599,6943,Toyota,Yaris,2003,"186,488 mi",Petrol,1.0,Ireland,UK,8.0,€800
6600,6944,Fiat,Doblo,2018,"9,160 mi",Petrol,1.4,Ireland,Unknown,0.0,"€21,000"
6601,6945,BMW,5-Series,2014,"149,521 mi",Diesel,2.0,Ireland,UK,1.0,"€10,250"
6602,6946,Skoda,Kodiaq,2019,"71,000 mi",Diesel,2.0,Ireland,No,2.0,"€35,895"
6603,6947,Nissan,Juke,2016,"83,000 km",Petrol,1.6,Ireland,No,2.0,"€12,975"
6604,6948,Kia,Sportage,2014,"204,000 km",Diesel,1.7,Ireland,No,4.0,"€12,950"
6605,6949,Volkswagen,Polo,2015,"59,262 km",Petrol,1.2,Ireland,No,1.0,"€12,400"
6606,6950,BMW,X1,2017,"151,724 km",Diesel,2.0,Ireland,No,1.0,"€23,995"
6607,6951,Mini,Cooper,2014,"90,238 km",Diesel,1.6,Ireland,No,3.0,"€11,500"
6608,6952,Ford,Focus,2011,"235,500 km",Diesel,1.6,Ireland,No,5.0,"€5,450"
6609,6953,BMW,5-Series,2014,"161,632 mi",Diesel,2.0,Ireland,UK,1.0,"€12,750"
6610,6954,BMW,4-Series,2015,"238,000 km",Diesel,2.0,Ireland,UK,3.0,"€18,750"
6611,6955,Peugeot,508,2016,"167,800 km",Diesel,1.6,Ireland,No,5.0,"€9,200"
6612,6956,Mercedes-Benz,Vito,2007,"212,021 km",Diesel,2.1,Ireland,No,2.0,"€2,750"
6613,6957,Nissan,Qashqai+2,2012,"224,900 km",Diesel,1.6,Ireland,No,10.0,"€5,000"
6614,6958,Peugeot,2008,2019,"36,000 km",Petrol,1.2,Ireland,No,2.0,"€15,450"
6615,6959,BMW,X1,2017,"107,118 mi",Diesel,2.0,Ireland,No,3.0,"€19,950"
6616,6960,Volkswagen,Golf,2015,"30,000 km",Petrol,1.2,Ireland,Unknown,0.0,"€15,250"
6617,6961,Nissan,Leaf,2019,"148,650 km",Electric,1.6,Ireland,No,1.0,"€13,000"
6618,6962,Skoda,Octavia,2021,"48,918 km",Diesel,1.6,Ireland,No,1.0,"€25,950"
6619,6963,Toyota,Prius,2017,"80,000 mi",Petrol Hybrid,1.8,Ireland,Unknown country,2.0,"€17,950"
6620,6964,Suzuki,SX4,2013,"217,624 km",Diesel,2.0,Ireland,No,2.0,"€4,950"
6621,6965,Audi,A4,2013,"282,000 km",Diesel,2.0,Ireland,UK,1.0,"€8,950"
6622,6966,Toyota,Verso,2015,"109,000 mi",Diesel,1.6,Ireland,UK,1.0,"€11,950"
6623,6967,Mazda,6,2011,"170,000 mi",Diesel,2.2,Ireland,UK,4.0,"€2,600"
6624,6968,Mercedes-Benz,GLC-Class,2022,"25,010 km",Diesel Plug-in Hybrid,2.0,Ireland,No,1.0,"€67,950"
6625,6969,Mercedes-Benz,E-Class,2018,"71,968 km",Diesel,2.0,Ireland,UK,1.0,"€33,900"
6626,6970,Suzuki,Swift,2015,"89,000 km",Petrol,1.2,Ireland,No,1.0,"€9,950"
6627,6971,Ford,Transit,2020,"142,959 km",Diesel,2.0,Ireland,No,1.0,"€54,000"
6628,6973,Nissan,Qashqai,2009,"180,000 mi",Diesel,1.5,Ireland,N. Ireland,2.0,"€2,950"
6629,6974,Kia,ProCeed,2016,"197,000 km",Diesel,1.6,Ireland,No,3.0,"€12,500"
6630,6975,Mercedes-Benz,C-Class,2021,"46,538 mi",Petrol Hybrid,1.5,Ireland,No,1.0,"€41,750"
6631,6976,Volkswagen,Passat,2019,"95,855 mi",Diesel,1.6,United Kingdom,No,1.0,"€23,950"
6632,6977,Volkswagen,Up!,2018,"26,994 mi",Petrol,1.0,Ireland,No,2.0,"€11,950"
6633,6978,Ford,Fiesta,2013,"155,450 km",Diesel,1.5,Ireland,No,2.0,"€7,500"
6634,6979,SEAT,Leon,2018,"117,157 km",Diesel,1.6,Ireland,No,1.0,"€17,950"
6635,6980,BMW,3-Series,2021,"40,792 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€42,950"
6636,6981,Toyota,Aqua,2012,"127,247 mi",Petrol Hybrid,1.5,Ireland,Unknown country,2.0,"€6,599"
