index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
64,Toyota,Prius,2013,320000,Petrol Hybrid,1.8,Ireland,Unknown country,3.0,7200
65,Volkswagen,Golf,2023,20379,Petrol,1.0,Ireland,No,1.0,35495
66,Nissan,Leaf,2020,72207,Electric,1.6,United Kingdom,No,1.0,24900
67,BMW,X5,2021,71000,Petrol Plug-in Hybrid,3.0,Ireland,No,1.0,89995
68,Renault,Captur,2016,128265,Diesel,1.5,United Kingdom,No,3.0,8600
69,Mazda,3,2013,307000,Diesel,1.6,Ireland,No,2.0,4800
70,Volvo,S80,2011,259049,Diesel,2.0,Ireland,No,4.0,5000
71,Volkswagen,Golf,2017,154464,Diesel,2.0,Ireland,UK,1.0,17500
72,Land Rover,Discovery Sport,2019,100000,Diesel,2.0,Ireland,No,2.0,43950
73,Volkswagen,Up!,2019,20500,Petrol,1.0,Ireland,Unknown country,2.0,12500
74,Ford,Focus,2010,333000,Diesel,1.6,Ireland,No,4.0,3250
75,Ford,Fiesta,2011,58200,Petrol,1.2,Ireland,No,2.0,6975
76,Renault,Clio,2013,149400,Petrol,1.1,Ireland,No,4.0,6495
77,Hyundai,i30,2010,261351,Diesel,1.6,Ireland,No,4.0,2500
78,BMW,1-Series,2012,254222,Petrol,1.6,Ireland,No,2.0,8450
80,Volkswagen,Golf,2006,259049,Diesel,2.0,Ireland,N. Ireland,9.0,4950
81,Vauxhall,Zafira,2014,201569,Diesel,2.0,Ireland,N. Ireland,1.0,6750
82,Peugeot,5008,2016,170000,Diesel,2.0,Ireland,UK,3.0,11999
83,Volkswagen,Polo,2019,2888,Petrol,1.0,Ireland,No,2.0,19950
84,Mercedes-Benz,CLA-Class,2022,56500,Diesel,2.0,Ireland,No,1.0,42950
86,Volkswagen,Polo,2018,64647,Petrol,1.0,Ireland,No,2.0,16950
87,Honda,Civic,2015,260000,Diesel,1.6,Ireland,UK,2.0,9995
88,Nissan,Qashqai,2007,175000,Diesel,1.5,Ireland,No,3.0,2250
89,Honda,Jazz,2016,88495,Petrol,1.5,Ireland,No,1.0,10750
90,Skoda,Octavia,2020,51500,Diesel,1.6,Ireland,No,2.0,25950
91,Volkswagen,T-Roc,2019,117620,Petrol,1.0,Ireland,UK,1.0,18950
92,Volkswagen,Golf,2012,159676,Diesel,1.6,Ireland,UK,6.0,8950
93,Mini,First,2013,165727,Petrol,1.6,Ireland,No,3.0,8500
94,SEAT,Ibiza,2010,114000,Petrol,1.2,Ireland,No,3.0,2750
95,Mitsubishi,Outlander,2014,139488,Diesel,2.3,Ireland,No,3.0,12995
96,Land Rover,Range Rover Sport,2019,30122,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,59950
97,Fiat,500,2014,85045,Petrol,1.4,Ireland,UK,4.0,13900
98,Toyota,Corolla,2018,44572,Petrol,1.5,Ireland,Unknown country,1.0,13750
99,Ford,Kuga,2014,221466,Diesel,2.0,Ireland,No,4.0,10950
100,Toyota,Aygo,2007,133000,Petrol,1.0,Ireland,No,4.0,1700
101,BMW,5-Series,2007,151246,Diesel,3.0,Ireland,No,13.0,6100
102,Volkswagen,Passat,2017,178000,Diesel,1.6,Ireland,No,1.0,15750
