index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
3194,Lexus,RX,2018,97325,Hybrid,3.5,Ireland,No,1.0,42950
3195,Ford,Fiesta,2021,81820,Petrol,1.0,Ireland,UK,1.0,17900
3196,Volkswagen,Golf,2011,123893,Petrol,1.2,Ireland,No,7.0,7250
3197,Toyota,RAV4,2014,217014,Diesel,2.0,Northern Ireland,No,6.0,6084
3198,Honda,Fit,2017,104585,Petrol Hybrid,1.5,Ireland,Unknown country,1.0,11500
3199,Skoda,Superb,2019,157000,Diesel,2.0,Ireland,No,1.0,19950
3200,Volkswagen,Golf,2018,44392,Petrol,1.2,Ireland,No,2.0,19950
3201,Volkswagen,Golf,2011,445693,Diesel,2.0,Ireland,UK,2.0,4000
3202,Nissan,Leaf,2013,184000,Electric,1.6,Ireland,UK,4.0,5000
3203,Skoda,Superb,2019,92000,Diesel,2.0,Ireland,No,2.0,23000
3204,Ford,Focus,2012,370070,Diesel,1.6,Ireland,UK,2.0,4495
3205,Renault,Grand Scenic,2021,41000,Diesel,1.8,Ireland,No,2.0,31950
3206,Volkswagen,Golf,2017,128720,Diesel,1.6,Northern Ireland,No,1.0,15950
3207,Nissan,Qashqai,2017,107826,Petrol,1.2,Ireland,No,1.0,18995
3209,Mitsubishi,Outlander,2016,230087,Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,13950
3210,Toyota,Camry,2017,70000,Hybrid,1.6,Ireland,Unknown,0.0,20000
3211,Audi,A4,2016,196298,Diesel,2.0,Northern Ireland,No,3.0,10062
3212,Toyota,Corolla,2000,241350,Petrol,1.4,Ireland,No,7.0,1200
3213,Skoda,Kodiaq,2021,43200,Diesel,2.0,Ireland,No,1.0,43995
3214,Toyota,Corolla,2020,49617,Petrol Hybrid,1.8,United Kingdom,No,1.0,24900
3215,Land Rover,Range Rover Evoque,2017,96500,Diesel,2.0,Ireland,No,2.0,28935
3216,Saab,9-3,2011,189862,Diesel,1.9,Ireland,UK,1.0,5000
3217,Audi,A3,2015,21487,Petrol,1.4,Ireland,No,2.0,17950
3218,Volkswagen,Up!,2015,56000,Petrol,1.6,Ireland,Unknown,1.0,8499
3219,Mercedes-Benz,CLA-Class,2022,61231,Diesel,2.0,Ireland,No,1.0,45950
3220,Kia,Sorento,2017,31176,Diesel,2.2,Ireland,No,1.0,30995
3221,Peugeot,207,2007,230926,Petrol,1.4,Ireland,No,5.0,2500
3222,Audi,A6,2016,164999,Diesel,2.0,Ireland,No,2.0,23500
3223,BMW,5-Series,2017,85728,Diesel,2.0,Ireland,No,1.0,29900
3224,Honda,Fit,2018,107803,Petrol Hybrid,1.5,Ireland,Unknown country,1.0,13490
3225,Volkswagen,Caddy,2015,46735,Diesel,1.6,United Kingdom,No,1.0,24950
3226,Mazda,3,2021,74000,Petrol,2.0,Ireland,No,1.0,22995
3227,Hyundai,IONIQ 5,2022,31000,Electric,1.6,Ireland,No,0.0,39950
3228,Peugeot,208,2015,52000,Diesel,1.4,Ireland,No,4.0,8999
3229,Land Rover,Discovery,2019,97000,Diesel,3.0,Ireland,No,1.0,41995
3230,Saab,9-3,2011,362947,Diesel,1.9,Ireland,UK,1.0,3500
3231,Kia,Stonic,2019,78000,Diesel,1.6,Ireland,No,1.0,18495
3232,Volvo,XC90,2023,21627,Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,95995
3233,Audi,A4,2020,145372,Diesel,2.0,Ireland,No,1.0,29950
3234,Mercedes-Benz,CLA-Class,2015,166044,Diesel,1.5,Ireland,No,4.0,16850
3235,Ford,Galaxy,2007,200000,Diesel,1.8,Ireland,No,2.0,1950
3236,Audi,A4,2011,243000,Petrol,2.0,Ireland,UK,3.0,7999
3237,Mercedes-Benz,EQB,2023,407,Electric,1.6,Ireland,No,1.0,53950
3238,Kia,Stonic,2021,78768,Petrol,1.0,Ireland,No,1.0,18850
3239,Skoda,Karoq,2019,122284,Diesel,1.6,Ireland,No,1.0,22995
3240,BMW,5-Series,2006,319000,Diesel,2.0,Ireland,No,12.0,3999
3241,Ford,Fiesta,2012,186644,Petrol,1.2,Northern Ireland,No,4.0,6500
3242,Alfa Romeo,Mito,2015,98744,Petrol,0.9,Ireland,UK,2.0,8995
3243,Audi,A6,2012,225000,Diesel,2.0,Ireland,UK,3.0,8900
3244,Citroen,Berlingo,2017,24914,Diesel,1.6,Ireland,Unknown,1.0,18950
3245,Ford,Kuga,2020,37000,Diesel,1.5,Ireland,No,1.0,31950
3246,Audi,Q2,2021,59451,Petrol,1.0,Ireland,No,2.0,30995
3247,Fiat,500X,2015,89669,Diesel,1.6,Ireland,No,2.0,10950
3248,Volkswagen,T-Roc,2022,47224,Diesel,2.0,Ireland,No,1.0,33950
3249,Volkswagen,Golf,2016,159291,Diesel,2.0,Ireland,Unknown,1.0,17500
3250,Nissan,Qashqai+2,2013,150000,Diesel,1.5,Ireland,No,3.0,9500
3251,Audi,A4,2012,154000,Diesel,2.0,Ireland,No,2.0,8500
3252,Volkswagen,Golf,2018,150444,Petrol,1.0,Ireland,No,1.0,17950
3253,Mercedes-Benz,E-Class,2015,166342,Diesel,2.1,Ireland,UK,3.0,13800
3255,Porsche,Panamera,2024,401,Hybrid,2.9,Ireland,No,1.0,139995
3256,Volkswagen,Tiguan Allspace,2019,114239,Diesel,2.0,Northern Ireland,No,2.0,24453
3257,Volkswagen,Polo,2018,48188,Petrol,1.2,Ireland,Unknown,1.0,15950
3258,Ford,Focus,2013,240475,Diesel,1.6,Ireland,No,3.0,5950
3259,Ford,Focus,2018,130329,Diesel,1.5,United Kingdom,No,1.0,16950
3260,Ford,Focus,2019,114239,Diesel,1.5,UK,No,1.0,17999
3261,Citroen,C4,2015,130477,Diesel,1.6,Ireland,UK,2.0,14900
3262,Honda,CR-V,2006,252613,Petrol,2.0,Ireland,No,5.0,2845
3264,Volkswagen,Beetle,2015,71533,Petrol,1.2,Ireland,No,2.0,13950
3265,Honda,Fit,2014,46661,Petrol Hybrid,1.5,Ireland,Unknown country,1.0,11990
3266,SEAT,Arona,2023,15500,Petrol,1.0,Ireland,No,1.0,25950
3267,BMW,5-Series,2022,27959,Diesel Hybrid,2.0,Ireland,No,1.0,55900
3268,Land Rover,Range Rover Evoque,2014,285,Diesel,2.2,Ireland,UK,1.0,13500
3270,Toyota,Vitz,2018,64000,Petrol,1.0,Ireland,Unknown,1.0,12500
3271,Volkswagen,Taigo,2023,2000,Petrol,1.0,Ireland,No,1.0,29895
3272,Nissan,Qashqai,2022,16125,Petrol,1.3,Ireland,No,1.0,31900
3273,Opel,Grandland X,2021,40000,Petrol,1.2,Ireland,No,1.0,23950
3274,Volkswagen,Up!,2016,77232,Petrol,1.0,Ireland,Unknown country,1.0,9145
3275,Suzuki,SX4,2014,134689,Diesel,2.0,Ireland,No,2.0,85
3276,Volkswagen,Golf,2014,227000,Diesel,1.6,Ireland,No,2.0,5950
3277,Peugeot,508,2011,153300,Diesel,1.6,Ireland,No,3.0,8000
3278,Ford,Focus,2015,198,Diesel,1.5,Ireland,N. Ireland,2.0,10250
3279,Renault,Koleos,2018,73518,Diesel,1.6,Ireland,No,1.0,22950
3280,Volkswagen,T-Roc,2021,95007,Diesel,2.0,Ireland,No,1.0,24950
3281,Renault,Megane,2017,79000,Diesel,1.5,Ireland,No,1.0,15900
3282,Mazda,3,2014,140000,Diesel,2.2,Ireland,No,2.0,9950
3283,Mercedes-Benz,EQE,2024,10,Electric,1.6,Ireland,No,2.0,85648
3284,Skoda,Octavia,2015,289866,Diesel,1.6,Ireland,No,3.0,9995
3285,Volkswagen,Polo,2010,176990,Petrol,1.2,Ireland,No,2.0,4900
3286,Ford,Kuga,2016,169268,Diesel,2.0,Ireland,No,2.0,16950
3287,Mazda,CX-5,2017,102976,Diesel,2.2,Ireland,No,2.0,12995
3288,Volvo,XC40,2022,52116,Electric,1.6,Ireland,No,1.0,42900
3289,Audi,A3,2010,305710,Diesel,1.6,Ireland,UK,2.0,3800
3290,Volkswagen,Polo,2024,4,Petrol,1.0,Ireland,No,1.0,26950
3291,Opel,Mokka,2023,10,Electric,1.6,Ireland,No,1.0,29000
3292,Audi,A5,2015,91000,Petrol,1.8,Ireland,UK,1.0,15000
3293,Audi,A3,2012,81254,Petrol,1.4,Ireland,Unknown,2.0,10995
3294,Fiat,Tipo,2021,27887,Petrol,1.4,Ireland,No,1.0,17750
3295,Peugeot,3008,2018,165891,Diesel,1.6,Ireland,No,3.0,19995
3296,Suzuki,Ignis,2016,85435,Petrol,1.2,Ireland,Unknown country,1.0,12950
3297,Kia,Picanto,2014,171037,Petrol,1.0,UK,No,2.0,5750
3298,Volkswagen,Tiguan,2014,146419,Petrol,1.4,Ireland,Unknown,1.0,15750
3299,Ford,Kuga,2019,204251,Diesel,1.5,Ireland,No,1.0,12995
3300,Nissan,Note,2018,97040,Hybrid,1.2,Ireland,No,2.0,13950
3301,Mazda,Demio,2018,51660,Petrol,1.3,Ireland,No,2.0,13950
3302,Volkswagen,Golf,2021,46000,Diesel,2.0,Ireland,No,1.0,0
3303,Dacia,Duster,2021,58301,Diesel,1.5,Ireland,No,2.0,22495
3304,Audi,A3,2016,71948,Petrol,1.4,Ireland,No,2.0,18950
3305,Volkswagen,Polo,2020,15897,Petrol,1.0,Ireland,No,2.0,19950
3306,BMW,3-Series,2024,501,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,67450
3307,Ford,Mondeo,2012,340000,Diesel,1.6,Ireland,No,4.0,5500
3308,Ford,Fiesta,2012,217360,Diesel,1.4,Ireland,UK,3.0,5950
3309,SsangYong,Korando,2024,0,Diesel,1.6,Ireland,No,2.0,45950
3310,Nissan,Qashqai,2016,74792,Petrol,1.2,Ireland,No,1.0,15495
3311,Volkswagen,Beetle,2014,16172,Petrol,1.2,Ireland,Unknown,1.0,13990
3312,Audi,A1,2018,20962,Petrol,1.0,Ireland,Unknown country,1.0,21750
3313,Opel,Insignia,2011,264100,Diesel,2.0,Ireland,No,3.0,3650
3315,Skoda,Superb,2021,52777,Diesel,2.0,Ireland,Unknown,1.0,29950
3316,BMW,3-Series,2017,139836,Hybrid,2.0,Ireland,No,2.0,21950
3318,Volkswagen,Golf,2014,116085,Petrol,1.4,Ireland,No,1.0,15950
3319,Volkswagen,Touran,2008,285000,Diesel,1.9,Ireland,No,3.0,2600
3320,Ford,Kuga,2018,288011,Diesel,1.5,Ireland,No,3.0,11750
3321,Nissan,Micra,2022,3379,Petrol,1.0,United Kingdom,No,1.0,12285
3322,Mazda,Demio,2014,82059,Petrol,1.3,Ireland,Unknown,0.0,8950
3323,BMW,i4,2023,5930,Electric,1.6,Ireland,No,1.0,67995
3324,Volkswagen,Passat,2018,237000,Diesel,1.6,Ireland,No,1.0,12450
3325,Land Rover,Defender,2013,191057,Diesel,2.2,Ireland,UK,2.0,49995
3326,Skoda,Octavia,2021,2825,Petrol,1.0,Ireland,No,1.0,28950
3327,Volvo,V40,2016,133547,Petrol,2.0,Northern Ireland,No,1.0,13950
3328,Audi,e-tron GT,2024,18,Electric,1.6,Ireland,No,2.0,122175
3329,Opel,Astra,2016,120000,Diesel,1.6,Ireland,No,2.0,9500
3330,Volkswagen,Passat,2008,231759,Petrol,1.6,Ireland,No,2.0,2400
3331,Suzuki,Vitara,2016,163000,Diesel,1.6,Ireland,No,1.0,11900
3333,BMW,5-Series,2014,225000,Diesel,2.0,Ireland,No,3.0,12500
3334,Opel,Zafira,2013,268740,Diesel,2.0,Ireland,No,3.0,5950
3335,Volkswagen,Jetta,2015,293000,Diesel,2.0,Ireland,No,4.0,9999
3336,Ora,Funky Cat,2023,8000,Electric,1.6,Ireland,No,1.0,33950
3337,Peugeot,3008,2021,199518,Diesel,1.5,Ireland,No,1.0,22995
3338,Volkswagen,Amarok,2024,4,Diesel,2.0,Ireland,No,2.0,62450
3339,Citroen,Berlingo,2023,1,Diesel,1.5,Ireland,No,2.0,21500
3340,Ford,Ranger,2019,144810,Diesel,3.2,Ireland,N. Ireland,1.0,33000
3341,Volkswagen,Scirocco,2010,199516,Petrol,2.0,Northern Ireland,No,4.0,4972
3342,Land Rover,Discovery,2002,233834,Diesel,2.5,Ireland,No,2.0,0
3343,Audi,A3,2016,164118,Diesel,1.6,Ireland,No,2.0,16950
3344,Mercedes-Benz,CLA-Class,2022,38793,Diesel,2.0,Ireland,No,1.0,47850
3345,Lexus,Other,2014,121973,Hybrid,1.8,Ireland,No,2.0,14950
3346,Toyota,Corolla,2014,205212,Diesel,1.4,Ireland,No,2.0,9900
3347,Mercedes-Benz,E-Class,2010,304852,Diesel,2.1,Ireland,No,3.0,5950
3348,Volvo,S40,2008,178000,Petrol,1.8,Ireland,No,3.0,2650
3349,Ford,C-MAX,2017,61329,Diesel,1.5,Ireland,No,3.0,14995
3350,BMW,5-Series,2018,89240,Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,30950
3351,Nissan,Juke,2018,115848,Petrol,1.6,Ireland,UK,1.0,14750
3352,BMW,5-Series,2018,79646,Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,31899
3353,Volkswagen,Golf,2013,115627,Diesel,1.6,Ireland,No,3.0,9999
3355,Volkswagen,Beetle,2008,198229,Petrol,1.4,Ireland,UK,3.0,4500
3356,Porsche,Cayenne,2016,146000,Petrol Hybrid,3.0,Ireland,UK,1.0,47995
3357,Mercedes-Benz,E-Class,2016,219000,Diesel,2.0,Ireland,UK,2.0,22950
3358,Mercedes-Benz,E-Class,2021,45052,Diesel,2.0,United Kingdom,No,1.0,55750
3359,Peugeot,Partner,2018,25939,Diesel,1.6,Ireland,No,1.0,20950
3360,Renault,Clio,2015,149000,Diesel,1.5,Ireland,No,2.0,7995
3361,Smart,Fortwo,2020,40547,Electric,1.6,Ireland,UK,2.0,16995
3362,Mazda,Demio,2014,86886,Petrol,1.3,Ireland,Unknown,0.0,8250
3363,Audi,A3,2013,201125,Diesel,1.6,Ireland,UK,1.0,9750
3364,Toyota,Avensis,2015,218600,Diesel,1.6,Ireland,UK,2.0,10400
3365,Hyundai,Tucson,2016,189862,Diesel,1.7,United Kingdom,No,2.0,14500
3366,BMW,5-Series,2020,73000,Diesel,2.0,Ireland,N. Ireland,1.0,42999
3367,Volkswagen,Caddy,2019,0,Diesel,2.0,Ireland,Unknown,0.0,0
3368,Jaguar,E-Pace,2019,99758,Diesel,2.0,Ireland,No,2.0,29950
3369,Ford,Focus,2007,220000,Petrol,1.4,Ireland,No,8.0,1499
3370,Volkswagen,Up!,2014,73000,Petrol,1.0,Ireland,Unknown country,1.0,7950
3371,Skoda,Octavia,2021,96000,Diesel,2.0,Ireland,No,2.0,26995
3372,Volkswagen,Polo,2021,27538,Petrol,1.0,Ireland,No,2.0,21950
3373,BMW,X5,2023,10000,Petrol Plug-in Hybrid,3.0,Ireland,No,2.0,94950
3374,Mercedes-Benz,CLA-Class,2016,78035,Diesel,2.1,Ireland,No,3.0,19950
3375,Ford,Kuga,2021,22000,Diesel,1.5,Ireland,No,1.0,30500
3376,Toyota,Camry,2017,84653,Hybrid,2.5,Ireland,No,2.0,21950
3377,BMW,3-Series,2016,246483,Diesel,2.0,Ireland,UK,1.0,14000
3378,Mercedes-Benz,E-Class,2014,188778,Diesel Hybrid,2.1,Ireland,No,2.0,11250
3379,Ford,Focus,2011,220202,Diesel,1.6,Ireland,UK,4.0,4950
3380,BMW,1-Series,2014,196645,Diesel,2.0,Ireland,No,3.0,8999
3381,Skoda,Octavia,2018,125000,Diesel,1.6,Ireland,No,3.0,15999
3382,Mini,ONE,2009,162453,Petrol,1.4,Ireland,No,6.0,1800
3383,Land Rover,Discovery,2019,117000,Diesel,2.0,Ireland,No,1.0,44900
3385,Hyundai,Tucson,2020,136776,Diesel,1.6,Ireland,No,1.0,24950
3386,BMW,5-Series,2002,240000,Diesel,2.5,Ireland,N. Ireland,10.0,5250
3387,Cupra,FORMENTOR,2022,42259,Diesel,2.0,Ireland,No,4.0,27500
3388,Volvo,S60,2017,101500,Diesel,2.0,Ireland,UK,5.0,16000
3389,Mini,Cooper,2011,191000,Diesel,1.6,Ireland,No,6.0,5500
3390,Hyundai,i30,2014,69187,Petrol,1.4,Ireland,UK,1.0,11995
3391,Dacia,Sandero,2017,80000,Petrol,1.0,Ireland,No,1.0,7950
3392,Ford,Focus,2021,148191,Diesel,1.5,Ireland,No,1.0,19995
3393,SEAT,Arona,2020,64765,Diesel,1.6,Ireland,No,2.0,22950
3394,Skoda,Octavia,2018,173772,Diesel,1.6,Ireland,Unknown,1.0,14850
3395,SEAT,Leon,2018,159476,Diesel,1.6,Ireland,Unknown,1.0,16950
3396,Volkswagen,ID.4,2024,4,Electric,1.6,Ireland,No,2.0,42500
3397,Mazda,3,2019,106600,Petrol,2.0,Ireland,UK,1.0,19850
3399,Volkswagen,Passat,2019,125596,Diesel,2.0,Ireland,No,2.0,18750
3400,BMW,3-Series,2021,90799,Diesel,2.0,United Kingdom,No,1.0,39900
3401,Audi,Q4 e-tron,2024,2500,Electric,1.6,Ireland,No,1.0,57900
3402,Skoda,Octavia,2015,188000,Diesel,1.6,Ireland,UK,1.0,10990
3404,BMW,5-Series,2011,241350,Diesel,2.0,Ireland,No,6.0,8950
3405,Toyota,C-HR,2022,46084,Hybrid,1.8,Ireland,No,1.0,32950
3406,Audi,A4,2012,267000,Diesel,2.0,Ireland,UK,1.0,7250
3407,Dacia,Sandero Stepway,2015,92000,Petrol,0.9,Ireland,No,5.0,7950
3408,Audi,A6,2014,235000,Diesel,3.0,Ireland,UK,2.0,13950
3409,Nissan,Almera,2006,197738,Petrol,1.5,Ireland,No,10.0,1350
3410,Peugeot,3008,2020,72405,Diesel,1.5,Ireland,No,1.0,26900
3411,Tesla,MODEL 3,2021,43999,Electric,1.6,Ireland,No,1.0,38950
3412,Nissan,Note,2018,72000,Petrol,1.2,Ireland,No,1.0,11950
3413,Mini,Cooper,2021,44829,Petrol,1.5,Ireland,No,1.0,27900
3414,BMW,5-Series,2014,244568,Diesel,2.0,Ireland,UK,3.0,15950
3415,Audi,A4,2015,204810,Diesel,2.0,Ireland,UK,2.0,13900
3416,Toyota,Auris,2013,145800,Petrol,1.3,Ireland,No,3.0,8500
3417,Nissan,Qashqai,2012,241350,Diesel,1.5,Ireland,UK,3.0,4950
3418,Land Rover,Range Rover Evoque,2016,204164,Diesel,2.0,Ireland,UK,2.0,19000
3419,BMW,M3,2003,151302,Petrol,3.2,Ireland,UK,2.0,34950
3420,Mercedes-Benz,CLA-Class,2024,20,Diesel,2.0,Ireland,No,2.0,58493
3421,Ford,Fiesta,2014,251004,Diesel,1.5,Ireland,No,5.0,8650
3422,Peugeot,3008,2023,21947,Diesel,1.5,Ireland,No,1.0,43000
3423,Dacia,Duster,2015,119999,Diesel,1.5,Ireland,No,2.0,9700
3424,Opel,Astra,2006,160000,Petrol,1.4,Ireland,No,6.0,1500
3425,Volkswagen,Polo,2010,137999,Petrol,1.2,Ireland,No,2.0,6950
3427,Mazda,Demio,2015,104850,Diesel,1.5,Ireland,No,2.0,9950
3428,Volkswagen,Passat,2019,190000,Diesel,2.0,Ireland,No,1.0,19995
3429,Tesla,MODEL 3,2020,40782,Electric,1.6,United Kingdom,No,1.0,36950
3430,BMW,4-Series,2014,155000,Diesel,3.0,Ireland,No,5.0,24500
3432,Mercedes-Benz,E-Class,2013,116000,Diesel,2.1,Ireland,UK,1.0,13950
3433,Audi,A3,2014,107803,Diesel,1.6,United Kingdom,No,4.0,8482
3434,Audi,A3,2015,100817,Petrol,1.4,Ireland,No,2.0,16950
3435,Audi,e-tron GT,2023,3684,Electric,1.6,Ireland,No,1.0,96950
3436,Hyundai,i10,2012,77232,Petrol,1.2,Ireland,UK,2.0,6950
3437,Opel,Astra,2012,180000,Petrol,1.4,Ireland,No,4.0,6900
3438,Audi,A6,2015,150000,Diesel,2.0,Ireland,UK,1.0,16950
3439,Lexus,IS,2009,151038,Diesel,2.2,Ireland,N. Ireland,3.0,3800
3440,Audi,A6,2017,140345,Diesel,2.0,Ireland,UK,2.0,23950
3441,Ford,Fiesta,2009,196000,Diesel,1.6,Ireland,UK,6.0,3250
3443,Honda,HONDA E,2021,37970,Electric,1.6,Ireland,No,1.0,27950
3445,Ford,S-MAX,2012,87288,Diesel,1.6,Ireland,UK,2.0,7500
3446,Hyundai,Tucson,2021,107642,Petrol Hybrid,1.6,Ireland,No,1.0,36497
3447,Renault,Fluence,2014,159215,Diesel,1.5,Ireland,No,4.0,7450
3448,Volkswagen,Tiguan,2016,226299,Diesel,2.0,Ireland,No,2.0,14500
3449,Hyundai,Tucson,2017,183300,Diesel,1.7,Ireland,Unknown,2.0,15995
3450,Fiat,500X,2024,0,Petrol Hybrid,1.5,Ireland,No,2.0,37290
3451,Lexus,RX,2015,194689,Petrol Hybrid,3.5,Ireland,UK,1.0,23500
3452,Land Rover,Range Rover Sport,2017,106752,Diesel,3.0,Ireland,N. Ireland,3.0,52750
3453,Peugeot,508,2020,116000,Diesel,1.5,Ireland,No,1.0,20450
3454,Opel,Astra,2011,272653,Diesel,1.7,Ireland,UK,4.0,4450
3455,Renault,Fluence,2016,122284,Diesel,1.5,Ireland,No,3.0,8950
3456,Skoda,Yeti,2011,273717,Diesel,1.6,Ireland,No,2.0,5000
3457,BMW,1-Series,2014,311723,Diesel,1.6,Ireland,UK,2.0,8500
3458,Peugeot,2008,2015,0,Diesel,1.4,Ireland,No,2.0,7990
3459,Toyota,C-HR,2020,34150,Petrol Hybrid,1.8,Ireland,No,1.0,31450
3461,Mercedes-Benz,C-Class,2015,181000,Diesel,1.6,Ireland,No,4.0,12450
3462,Mercedes-Benz,E-Class,2018,67000,Diesel,2.0,Ireland,UK,2.0,33950
3463,Nissan,Leaf,2022,51056,Electric,1.6,Ireland,No,1.0,21950
3464,BMW,1-Series,2016,80000,Petrol,1.5,Ireland,No,2.0,16950
3465,Hyundai,KONA,2022,33958,Electric,1.6,Ireland,No,1.0,23995
3466,Honda,VEZEL,2020,24121,Hybrid,1.5,Ireland,No,2.0,27950
3468,Renault,Clio,2022,55936,Petrol,1.0,Ireland,No,1.0,16890
3469,Volkswagen,Transporter,2024,4,Diesel,2.0,Ireland,No,2.0,36785
3470,Toyota,Corolla,2021,107421,Petrol Hybrid,1.8,Ireland,No,1.0,22900
3471,Suzuki,Swift,2014,96351,Petrol,1.2,Ireland,Unknown country,1.0,7750
3473,Audi,A6,2015,159490,Diesel,3.0,Ireland,No,4.0,19950
3474,Land Rover,Range Rover Evoque,2018,118000,Diesel,2.0,Ireland,UK,1.0,32995
3475,Toyota,Prius,2014,209000,Petrol Hybrid,1.8,Ireland,Unknown country,1.0,12000
3476,Honda,Shuttle,2018,92000,Hybrid,1.5,Ireland,No,2.0,15950
3477,Skoda,Octavia,2018,167199,Diesel,1.6,Ireland,No,1.0,17995
3478,Hyundai,i10,2021,67679,Petrol,1.0,Ireland,No,1.0,13450
3479,Volvo,XC40,2020,46500,Petrol,1.5,Ireland,No,1.0,36775
3480,Toyota,Auris,2010,249,Petrol,1.3,Ireland,UK,5.0,3750
3481,Opel,Corsa,2017,67578,Petrol,1.4,Ireland,No,3.0,11750
3482,BMW,iX,2022,66500,Electric,1.6,Ireland,No,1.0,59995
3483,Skoda,Octavia,2008,181656,Petrol,1.4,Ireland,No,3.0,3450
3484,Nissan,Juke,2016,150857,Diesel,1.5,Ireland,UK,2.0,10950
3485,Volkswagen,Golf,2013,189862,Diesel,1.6,Ireland,UK,2.0,0
3486,Hyundai,Tucson,2021,65999,Petrol Hybrid,1.6,Ireland,No,1.0,33995
3487,Audi,A1,2012,72000,Petrol,1.4,Ireland,No,1.0,10950
3488,Volkswagen,Polo,2011,153343,Petrol,1.2,Ireland,UK,6.0,5750
3489,Toyota,Prius,2015,140291,Petrol Hybrid,1.8,Ireland,Unknown country,2.0,12950
3490,Renault,Clio,2024,10,Petrol,1.0,Ireland,No,2.0,26340
3491,Mercedes-Benz,E-Class,2004,146028,Diesel,2.1,Ireland,UK,2.0,6000
3492,Honda,Civic,2015,171466,Diesel,1.6,Ireland,UK,1.0,9950
3493,Volkswagen,Taigo,2023,10000,Petrol,1.0,Ireland,No,1.0,28895
3494,BMW,5-Series,2008,252542,Diesel,2.0,Ireland,No,7.0,3250
3495,Mazda,CX-5,2014,241459,Diesel,2.2,Ireland,No,2.0,6500
3496,Toyota,C-HR,2022,7000,Petrol Hybrid,1.8,Ireland,No,2.0,32950
3497,Skoda,KAMIQ,2021,62400,Petrol,1.0,Ireland,No,1.0,24995
3498,Toyota,Corolla,2014,160000,Diesel,1.4,Ireland,No,5.0,8750
3499,Suzuki,Splash,2010,109412,Diesel,1.2,Ireland,UK,3.0,4250
3500,BMW,3-Series,2015,160900,Diesel,2.0,Ireland,UK,3.0,17300
3501,Kia,Sportage,2023,28345,Diesel Hybrid,1.6,Ireland,No,2.0,36900
3502,Volkswagen,Golf,2016,39970,Petrol,1.2,Ireland,No,1.0,15900
3503,Nissan,Qashqai,2016,129851,Petrol,1.2,Ireland,No,1.0,14995
3504,Ford,Focus,2020,66013,Diesel,1.5,Ireland,No,1.0,24900
3505,Volkswagen,Polo,2014,79686,Petrol,1.2,Ireland,No,1.0,11950
3506,Hyundai,i20,2013,184025,Petrol,1.2,Ireland,No,2.0,7950
3507,Volkswagen,Polo,2013,69187,Petrol,1.2,Ireland,Unknown,2.0,9995
3508,Fiat,500e,2022,24500,Electric,1.6,Ireland,No,1.0,21500
3509,Citroen,C3,2018,78800,Petrol,1.2,Ireland,N. Ireland,1.0,12150
3510,Jeep,Avenger,2023,0,Electric,1.6,Ireland,No,2.0,40495
3511,Opel,Corsa,2022,40000,Petrol,1.2,Ireland,No,2.0,20950
3512,Hyundai,i30,2020,37414,Petrol,1.0,Ireland,No,1.0,22499
3513,Nissan,Qashqai,2007,301420,Diesel,1.5,Ireland,No,8.0,1650
3514,Audi,A3,2014,116170,Petrol,1.4,Ireland,Unknown,2.0,14995
3515,Volvo,S90,2019,131928,Diesel,2.0,United Kingdom,No,1.0,32995
3516,Ford,Focus C-MAX,2006,175647,Petrol,1.6,Ireland,No,5.0,750
3517,BMW,3-Series,2013,165727,Diesel,2.0,Ireland,UK,2.0,10950
3518,Mercedes-Benz,CLA-Class,2022,19000,Petrol Plug-in Hybrid,1.3,Ireland,No,1.0,43450
3519,Opel,Corsa,2014,180212,Petrol,1.0,Ireland,No,4.0,6750
3520,Jaguar,F-Pace,2018,209950,Diesel,2.0,Ireland,No,2.0,25995
3521,Volkswagen,Tiguan,2017,97000,Diesel,2.0,Ireland,No,2.0,23950
3522,Audi,A3,2014,69187,Petrol,1.4,Ireland,Unknown country,1.0,14490
3523,Toyota,Auris,2008,220000,Petrol,1.4,Ireland,No,2.0,3650
3524,Audi,A4,2013,214000,Diesel,2.0,Ireland,UK,3.0,8750
3525,BMW,5-Series,2015,327913,Diesel,2.0,Ireland,UK,3.0,14900
3526,BMW,X1,2013,123893,Diesel,2.0,Ireland,No,3.0,14950
3527,Opel,Corsa,2012,118851,Petrol,1.2,Ireland,No,2.0,6995
3528,Audi,A4,2013,257440,Diesel,2.0,Ireland,UK,3.0,11500
3529,Jaguar,XE,2017,75983,Diesel,2.0,Ireland,No,2.0,17950
3530,Land Rover,Range Rover Sport,2015,168945,Diesel,3.0,Ireland,No,1.0,43950
3531,Audi,Q8,2023,8120,Electric,1.6,Ireland,No,1.0,84900
3532,Mini,Cooper,2017,200222,Diesel,1.5,Ireland,UK,1.0,12750
3534,Honda,Fit,2012,108000,Petrol Hybrid,1.3,Ireland,Unknown country,1.0,7950
3535,Mercedes-Benz,CLA-Class,2019,114662,Diesel,1.5,Ireland,No,3.0,31900
